user_id,sleep_date,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,SleepEfficiency,activity_date,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalActiveMinutes,ActiveMinutesShare,CaloriesPerStep,VeryActiveShare,UserMeanSleepEfficiency,SleepEfficiencyDeviation
1503960366,2016-04-12,1,327,346,0.9450867052023122,2016-04-11,13162,8.5,1985,25,13,328,728,366,0.33455210237659966,0.15081294636073544,0.06830601092896176,0.9363853096202286,0.008701395582083604
1503960366,2016-04-13,2,384,407,0.9434889434889436,2016-04-12,10735,6.96999979019165,1797,21,19,217,776,257,0.24878993223620524,0.16739636702375407,0.08171206225680934,0.9363853096202286,0.007103633868715042
1503960366,2016-04-15,1,412,442,0.9321266968325792,2016-04-14,9762,6.28000020980835,1745,29,34,209,726,272,0.2725450901803607,0.1787543536160623,0.10661764705882353,0.9363853096202286,-0.004258612787649385
1503960366,2016-04-16,2,340,367,0.9264305177111716,2016-04-15,12669,8.15999984741211,1863,36,10,221,773,267,0.2567307692307692,0.14705185886810324,0.1348314606741573,0.9363853096202286,-0.009954791909057015
1503960366,2016-04-17,1,700,712,0.9831460674157304,2016-04-16,9705,6.48000001907349,1728,38,20,164,539,222,0.29172141918528255,0.17805255023183925,0.17117117117117117,0.9363853096202286,0.04676075779550182
1503960366,2016-04-19,1,304,320,0.95,2016-04-18,15506,9.88000011444092,2035,50,31,264,775,345,0.3080357142857143,0.13123952018573457,0.14492753623188406,0.9363853096202286,0.013614690379771366
1503960366,2016-04-20,1,360,377,0.9549071618037136,2016-04-19,10544,6.67999982833862,1786,28,12,205,818,245,0.23047977422389465,0.16938543247344462,0.11428571428571428,0.9363853096202286,0.01852185218348501
1503960366,2016-04-21,1,325,364,0.8928571428571429,2016-04-20,9819,6.34000015258789,1775,19,8,211,838,238,0.2211895910780669,0.1807719727059782,0.07983193277310924,0.9363853096202286,-0.043528166763085685
1503960366,2016-04-23,1,361,384,0.9401041666666666,2016-04-22,14371,9.03999996185303,1949,41,21,262,732,324,0.3068181818181818,0.1356203465312087,0.12654320987654322,0.9363853096202286,0.00371885704643804
1503960366,2016-04-24,1,430,449,0.9576837416481068,2016-04-23,10039,6.40999984741211,1788,39,5,238,709,282,0.28456104944500504,0.17810538898296643,0.13829787234042554,0.9363853096202286,0.021298432027878178
1503960366,2016-04-25,1,277,323,0.8575851393188855,2016-04-24,15355,9.80000019073486,2013,73,14,216,814,303,0.2712623097582811,0.13109736242266362,0.24092409240924093,0.9363853096202286,-0.07880017030134312
1503960366,2016-04-26,1,245,274,0.8941605839416058,2016-04-25,13755,8.78999996185303,1970,31,23,279,833,333,0.2855917667238422,0.14322064703744092,0.09309309309309309,0.9363853096202286,-0.04222472567862279
1503960366,2016-04-28,1,366,393,0.931297709923664,2016-04-27,13154,8.52999973297119,1898,48,28,189,782,265,0.2531041069723018,0.14429071005017485,0.1811320754716981,0.9363853096202286,-0.005087599696564582
1503960366,2016-04-29,1,341,354,0.963276836158192,2016-04-28,11181,7.15000009536743,1837,16,12,243,815,271,0.24953959484346225,0.164296574546105,0.05904059040590406,0.9363853096202286,0.02689152653796345
1503960366,2016-04-30,1,404,425,0.9505882352941176,2016-04-29,14673,9.25,1947,52,34,217,712,303,0.29852216748768473,0.13269270087916582,0.1716171617161716,0.9363853096202286,0.014202925673889033
1503960366,2016-05-01,1,369,396,0.9318181818181818,2016-04-30,10602,6.80999994277954,1820,33,35,246,730,314,0.3007662835249042,0.17166572344840597,0.10509554140127389,0.9363853096202286,-0.004567127802046822
1503960366,2016-05-02,1,277,309,0.8964401294498382,2016-05-01,14727,9.71000003814697,2004,41,15,277,798,333,0.29442970822281167,0.1360765940110002,0.12312312312312312,0.9363853096202286,-0.03994518017039039
1503960366,2016-05-03,1,273,296,0.9222972972972971,2016-05-02,15103,9.65999984741211,1990,50,24,254,816,328,0.2867132867132867,0.13176190160895188,0.1524390243902439,0.9363853096202286,-0.014088012322931442
1503960366,2016-05-05,1,247,264,0.9356060606060606,2016-05-04,14070,8.89999961853027,1959,45,24,250,857,319,0.27125850340136054,0.13923240938166312,0.14106583072100312,0.9363853096202286,-0.0007792490141680375
1503960366,2016-05-06,1,334,367,0.9100817438692098,2016-05-05,12159,8.02999973297119,1896,24,6,289,754,319,0.2972972972972973,0.15593387614113002,0.07523510971786834,0.9363853096202286,-0.026303565751018776
1503960366,2016-05-07,1,331,349,0.9484240687679084,2016-05-06,11992,7.71000003814697,1821,37,46,175,833,258,0.23648029330889092,0.15185123415610408,0.1434108527131783,0.9363853096202286,0.012038759147679823
1503960366,2016-05-08,1,594,611,0.972176759410802,2016-05-07,10060,6.57999992370605,1740,44,8,203,574,255,0.30759951749095293,0.17296222664015903,0.17254901960784313,0.9363853096202286,0.03579144979057336
1503960366,2016-05-09,1,338,342,0.9883040935672516,2016-05-08,12022,7.71999979019165,1819,46,11,206,835,263,0.2395264116575592,0.15130593911162868,0.17490494296577946,0.9363853096202286,0.051918783947022984
1503960366,2016-05-10,1,383,403,0.9503722084367244,2016-05-09,12207,7.76999998092651,1859,46,31,214,746,291,0.2806171648987464,0.15228966986155484,0.15807560137457044,0.9363853096202286,0.01398689881649584
1503960366,2016-05-11,1,285,306,0.931372549019608,2016-05-10,12770,8.13000011444092,1783,36,23,251,669,310,0.3166496424923391,0.13962411902897415,0.11612903225806452,0.9363853096202286,-0.005012760600620614
1644430081,2016-04-29,1,119,127,0.937007874015748,2016-04-28,3176,2.30999994277954,2498,0,0,120,1193,120,0.0913937547600914,0.7865239294710328,0.0,0.8820403876004859,0.05496748641526217
1644430081,2016-04-30,1,124,142,0.8732394366197183,2016-04-29,18213,13.2399997711182,3846,9,71,402,816,482,0.3713405238828968,0.2111678471421512,0.01867219917012448,0.8820403876004859,-0.008800950980767608
1644430081,2016-05-02,1,796,961,0.8283038501560874,2016-05-01,3758,2.73000001907349,2580,1,7,148,682,156,0.18615751789976134,0.6865353911655135,0.00641025641025641,0.8820403876004859,-0.053736537444398436
1644430081,2016-05-08,1,137,154,0.8896103896103896,2016-05-07,6724,4.8899998664856,2987,0,0,295,991,295,0.22939346811819597,0.4442296252230815,0.0,0.8820403876004859,0.007570002009903765
1844505072,2016-04-15,1,644,961,0.6701352757544224,2016-04-14,3844,2.53999996185303,1725,0,0,176,527,176,0.2503556187766714,0.4487513007284079,0.0,0.6784599375650364,-0.008324661810613976
1844505072,2016-04-30,1,722,961,0.7513007284079084,2016-04-29,4014,2.67000007629395,1763,0,0,184,218,184,0.4577114427860697,0.4392127553562531,0.0,0.6784599375650364,0.07284079084287198
1844505072,2016-05-01,1,590,961,0.6139438085327783,2016-04-30,2573,1.70000004768372,1541,0,7,75,585,82,0.12293853073463268,0.5989117761368052,0.0,0.6784599375650364,-0.06451612903225812
1927972279,2016-04-12,3,750,775,0.967741935483871,2016-04-11,678,0.469999998807907,2220,0,0,55,734,55,0.0697084917617237,3.274336283185841,0.0,0.947008102905974,0.02073383257789696
1927972279,2016-04-13,1,398,422,0.943127962085308,2016-04-12,356,0.25,2151,0,0,32,986,32,0.03143418467583497,6.042134831460674,0.0,0.947008102905974,-0.0038801408206660115
1927972279,2016-04-15,2,475,499,0.9519038076152304,2016-04-14,980,0.680000007152557,2221,0,0,51,941,51,0.05141129032258065,2.266326530612245,0.0,0.947008102905974,0.004895704709256377
1927972279,2016-04-26,1,296,315,0.9396825396825396,2016-04-25,3761,2.59999990463257,2638,0,0,192,1058,192,0.1536,0.701409199680936,0.0,0.947008102905974,-0.0073255632234344725
1927972279,2016-04-28,1,166,178,0.9325842696629212,2016-04-27,1675,1.1599999666214,2351,0,0,95,1167,95,0.07527733755942947,1.4035820895522388,0.0,0.947008102905974,-0.014423833243052853
2026352035,2016-04-12,1,503,546,0.9212454212454212,2016-04-11,4414,2.74000000953674,1459,3,8,181,706,192,0.21380846325167038,0.33053919347530586,0.015625,0.9413413817950905,-0.020095960549669334
2026352035,2016-04-13,1,531,565,0.9398230088495576,2016-04-12,4993,3.09999990463257,1521,0,0,238,663,238,0.2641509433962264,0.30462647706789503,0.0,0.9413413817950905,-0.0015183729455329198
2026352035,2016-04-14,1,545,568,0.9595070422535212,2016-04-13,3335,2.0699999332428,1431,0,0,197,653,197,0.23176470588235293,0.4290854572713643,0.0,0.9413413817950905,0.01816566045843071
2026352035,2016-04-15,1,523,573,0.912739965095986,2016-04-14,3821,2.36999988555908,1444,0,0,188,687,188,0.21485714285714286,0.37791154148128764,0.0,0.9413413817950905,-0.028601416699104543
2026352035,2016-04-16,1,524,567,0.9241622574955908,2016-04-15,2547,1.58000004291534,1373,0,0,150,728,150,0.17084282460136674,0.5390655673341186,0.0,0.9413413817950905,-0.01717912429949975
2026352035,2016-04-17,1,437,498,0.8775100401606426,2016-04-16,838,0.519999980926514,1214,0,0,60,1053,60,0.05390835579514825,1.4486873508353222,0.0,0.9413413817950905,-0.06383134163444792
2026352035,2016-04-19,1,498,540,0.9222222222222224,2016-04-18,2424,1.5,1356,0,0,141,785,141,0.15226781857451405,0.5594059405940595,0.0,0.9413413817950905,-0.01911915957286814
2026352035,2016-04-20,1,461,510,0.903921568627451,2016-04-19,7222,4.48000001907349,1667,0,0,327,623,327,0.34421052631578947,0.2308224868457491,0.0,0.9413413817950905,-0.03741981316763954
2026352035,2016-04-21,1,477,514,0.9280155642023348,2016-04-20,2467,1.52999997138977,1370,0,0,153,749,153,0.1696230598669623,0.5553303607620592,0.0,0.9413413817950905,-0.013325817592755751
2026352035,2016-04-22,1,520,545,0.9541284403669724,2016-04-21,2915,1.80999994277954,1399,0,0,162,712,162,0.1853546910755149,0.4799313893653516,0.0,0.9413413817950905,0.012787058571881893
2026352035,2016-04-23,1,522,554,0.9422382671480144,2016-04-22,12357,7.71000003814697,1916,0,0,432,458,432,0.4853932584269663,0.15505381565104798,0.0,0.9413413817950905,0.0008968853529238707
2026352035,2016-04-24,1,555,591,0.9390862944162436,2016-04-23,3490,2.16000008583069,1401,0,0,164,704,164,0.1889400921658986,0.401432664756447,0.0,0.9413413817950905,-0.0022550873788469428
2026352035,2016-04-25,1,506,531,0.9529190207156308,2016-04-24,6017,3.73000001907349,1576,0,0,260,821,260,0.24051803885291398,0.26192454711650326,0.0,0.9413413817950905,0.011577638920540312
2026352035,2016-04-27,1,508,545,0.9321100917431192,2016-04-26,6088,3.76999998092651,1593,0,0,286,586,286,0.32798165137614677,0.2616622864651774,0.0,0.9413413817950905,-0.00923129005197132
2026352035,2016-04-28,1,513,545,0.9412844036697248,2016-04-27,6375,3.95000004768372,1649,0,0,331,626,331,0.3458725182863114,0.25866666666666666,0.0,0.9413413817950905,-5.6978125365758636e-05
2026352035,2016-04-29,1,490,510,0.9607843137254902,2016-04-28,7604,4.71000003814697,1692,0,0,352,492,352,0.41706161137440756,0.22251446607048922,0.0,0.9413413817950905,0.0194429319303997
2026352035,2016-04-30,1,573,607,0.943986820428336,2016-04-29,4729,2.9300000667572,1506,0,0,233,594,233,0.28174123337363965,0.31846056248678367,0.0,0.9413413817950905,0.0026454386332455115
2026352035,2016-05-01,1,527,546,0.9652014652014652,2016-04-30,3609,2.27999997138977,1447,0,0,191,716,191,0.2105843439911797,0.40094208922139096,0.0,0.9413413817950905,0.023860083406374688
2026352035,2016-05-02,1,511,543,0.9410681399631676,2016-05-01,7018,4.34999990463257,1690,0,0,355,716,355,0.3314659197012138,0.2408093473924195,0.0,0.9413413817950905,-0.0002732418319228991
2026352035,2016-05-04,1,538,560,0.9607142857142856,2016-05-03,6564,4.07000017166138,1658,0,0,345,530,345,0.3942857142857143,0.2525898842169409,0.0,0.9413413817950905,0.019372903919195106
2026352035,2016-05-05,1,468,485,0.9649484536082474,2016-05-04,12167,7.53999996185303,1926,0,0,475,479,475,0.4979035639412998,0.15829703295800115,0.0,0.9413413817950905,0.02360707181315691
2026352035,2016-05-06,1,524,548,0.9562043795620438,2016-05-05,8198,5.07999992370605,1736,0,0,383,511,383,0.42841163310961966,0.2117589656013662,0.0,0.9413413817950905,0.014862997766953323
2026352035,2016-05-07,1,511,521,0.980806142034549,2016-05-06,4193,2.59999990463257,1491,0,0,229,665,229,0.25615212527964204,0.3555926544240401,0.0,0.9413413817950905,0.03946476023945844
2026352035,2016-05-08,1,541,568,0.9524647887323944,2016-05-07,5528,3.45000004768372,1555,0,0,258,610,258,0.29723502304147464,0.28129522431259046,0.0,0.9413413817950905,0.011123406937303848
2026352035,2016-05-09,1,531,556,0.9550359712230216,2016-05-08,10685,6.61999988555908,1869,0,0,401,543,401,0.4247881355932203,0.1749181094992981,0.0,0.9413413817950905,0.013694589427931114
2026352035,2016-05-10,1,357,380,0.9394736842105263,2016-05-09,254,0.159999996423721,1141,0,0,17,1002,17,0.016683022571148183,4.4921259842519685,0.0,0.9413413817950905,-0.0018676975845641763
2026352035,2016-05-11,1,523,553,0.945750452079566,2016-05-10,8580,5.32000017166138,1698,0,0,330,569,330,0.3670745272525028,0.1979020979020979,0.0,0.9413413817950905,0.004409070284475458
2026352035,2016-05-12,1,456,485,0.9402061855670104,2016-05-11,8891,5.51000022888184,1364,0,0,343,330,343,0.5096582466567607,0.15341356427848385,0.0,0.9413413817950905,-0.0011351962280801153
2320127002,2016-04-23,1,61,69,0.8840579710144928,2016-04-22,5079,3.42000007629395,1804,0,0,242,1129,242,0.1765134938001459,0.3551880291395944,0.0,0.8840579710144928,0.0
2347167796,2016-04-13,1,467,531,0.879472693032015,2016-04-12,10352,7.01000022888184,2038,19,32,195,676,246,0.2668112798264642,0.19687017001545595,0.07723577235772358,0.9103703669407986,-0.03089767390878362
2347167796,2016-04-14,1,445,489,0.9100204498977504,2016-04-13,10129,6.69999980926514,2010,1,48,206,705,255,0.265625,0.19844012242077205,0.00392156862745098,0.9103703669407986,-0.00034991704304820903
2347167796,2016-04-15,1,452,504,0.8968253968253969,2016-04-14,10465,6.92000007629395,2133,1,24,284,720,309,0.30029154518950435,0.2038222646918299,0.003236245954692557,0.9103703669407986,-0.013544970115401789
2347167796,2016-04-17,1,556,602,0.9235880398671096,2016-04-16,5472,3.61999988555908,1882,1,7,249,508,257,0.3359477124183007,0.3439327485380117,0.0038910505836575876,0.9103703669407986,0.01321767292631093
2347167796,2016-04-18,1,500,557,0.8976660682226212,2016-04-17,8247,5.44999980926514,1944,11,16,206,678,233,0.2557628979143798,0.23572208075663878,0.04721030042918455,0.9103703669407986,-0.012704298718177465
2347167796,2016-04-19,1,465,514,0.9046692607003892,2016-04-18,6711,4.44000005722046,2346,0,7,382,648,389,0.3751205400192864,0.34957532409476977,0.0,0.9103703669407986,-0.005701106240409426
2347167796,2016-04-21,1,460,484,0.950413223140496,2016-04-20,10080,6.75,2048,23,26,208,761,257,0.25245579567779963,0.20317460317460317,0.08949416342412451,0.9103703669407986,0.040042856199697385
2347167796,2016-04-22,1,405,461,0.8785249457700651,2016-04-21,7804,5.15999984741211,1946,9,27,206,781,242,0.23655913978494625,0.24935930292157868,0.0371900826446281,0.9103703669407986,-0.03184542117073352
2347167796,2016-04-23,1,374,386,0.9689119170984456,2016-04-22,16901,11.3699998855591,2629,32,35,360,591,427,0.4194499017681729,0.155552925862375,0.07494145199063232,0.9103703669407986,0.05854155015764695
2347167796,2016-04-24,1,442,459,0.9629629629629628,2016-04-23,9471,6.26000022888184,2187,0,0,360,584,360,0.3813559322033898,0.23091542603737725,0.0,0.9103703669407986,0.05259259602216415
2347167796,2016-04-25,1,433,471,0.9193205944798302,2016-04-24,9482,6.38000011444092,2095,15,11,277,653,303,0.3169456066945607,0.22094494832313857,0.04950495049504951,0.9103703669407986,0.008950227539031519
2347167796,2016-04-26,1,436,490,0.889795918367347,2016-04-25,5980,3.95000004768372,1861,0,0,227,732,227,0.23670490093847757,0.3112040133779264,0.0,0.9103703669407986,-0.020574448573451698
2347167796,2016-04-27,1,448,499,0.8977955911823647,2016-04-26,11423,7.57999992370605,2194,26,9,295,623,330,0.3462749213011542,0.19206863345881117,0.07878787878787878,0.9103703669407986,-0.01257477575843391
2347167796,2016-04-28,1,408,450,0.9066666666666666,2016-04-27,5439,3.59999990463257,1854,0,0,229,764,229,0.23061430010070494,0.3408714837286266,0.0,0.9103703669407986,-0.003703700274132027
2347167796,2016-04-29,1,411,473,0.86892177589852,2016-04-28,42,0.0299999993294477,403,0,0,4,2,4,0.6666666666666666,9.595238095238095,0.0,0.9103703669407986,-0.041448591042278604
3977333714,2016-04-12,1,274,469,0.5842217484008528,2016-04-11,8856,5.98000001907349,1450,44,19,131,777,194,0.19979402677651906,0.1637308039747064,0.2268041237113402,0.6336690783788377,-0.049447329977984844
3977333714,2016-04-13,2,295,456,0.6469298245614035,2016-04-12,10035,6.71000003814697,1495,31,46,153,754,230,0.23373983739837398,0.1489785749875436,0.13478260869565217,0.6336690783788377,0.013260746182565786
3977333714,2016-04-14,1,291,397,0.7329974811083123,2016-04-13,7641,5.1100001335144,1433,5,23,214,801,242,0.23202301054650049,0.18754089778824762,0.02066115702479339,0.6336690783788377,0.09932840272947463
3977333714,2016-04-15,1,424,556,0.762589928057554,2016-04-14,9010,6.05999994277954,1468,15,42,183,644,240,0.27149321266968324,0.16293007769145393,0.0625,0.6336690783788377,0.1289208496787163
3977333714,2016-04-16,1,283,510,0.5549019607843138,2016-04-15,13459,9.0,1625,31,83,153,663,267,0.2870967741935484,0.12073705327290289,0.11610486891385768,0.6336690783788377,-0.07876711759452393
3977333714,2016-04-17,1,381,566,0.6731448763250883,2016-04-16,10415,6.96999979019165,1529,11,58,205,600,274,0.3135011441647597,0.14680748919827172,0.040145985401459854,0.6336690783788377,0.03947579794625067
3977333714,2016-04-18,2,412,522,0.789272030651341,2016-04-17,11663,7.80000019073486,1584,4,95,214,605,313,0.340958605664488,0.13581411300694504,0.012779552715654952,0.6336690783788377,0.15560295227250331
3977333714,2016-04-19,1,219,395,0.5544303797468354,2016-04-18,12414,8.77999973297119,1638,19,67,221,738,307,0.2937799043062201,0.1319478008699855,0.06188925081433225,0.6336690783788377,-0.07923869863200228
3977333714,2016-04-20,2,152,305,0.4983606557377049,2016-04-19,11658,7.82999992370605,1554,2,98,164,845,264,0.23805229936880073,0.13329902213072567,0.007575757575757576,0.6336690783788377,-0.1353084226411328
3977333714,2016-04-21,1,332,512,0.6484375,2016-04-20,6093,4.07999992370605,1397,0,0,242,712,242,0.25366876310272535,0.22927950106679795,0.0,0.6336690783788377,0.01476842162116232
3977333714,2016-04-22,1,355,476,0.7457983193277311,2016-04-21,8911,5.96000003814697,1481,33,12,188,731,233,0.241701244813278,0.1661990797890248,0.14163090128755365,0.6336690783788377,0.11212924094889343
3977333714,2016-04-23,1,235,372,0.6317204301075269,2016-04-22,12058,8.06999969482422,1638,0,92,252,724,344,0.32209737827715357,0.13584342345330902,0.0,0.6336690783788377,-0.0019486482713108044
3977333714,2016-04-24,1,310,526,0.5893536121673004,2016-04-23,14112,10.0,1655,30,95,129,660,254,0.2778993435448578,0.11727607709750566,0.11811023622047244,0.6336690783788377,-0.04431546621153726
3977333714,2016-04-25,1,262,467,0.5610278372591007,2016-04-24,11177,8.47999954223633,1570,50,9,133,781,192,0.197327852004111,0.14046703050908116,0.2604166666666667,0.6336690783788377,-0.07264124111973702
3977333714,2016-04-26,1,250,371,0.6738544474393531,2016-04-25,11388,7.61999988555908,1551,7,95,170,797,272,0.25444340505144997,0.13619599578503688,0.025735294117647058,0.6336690783788377,0.0401853690605154
3977333714,2016-04-27,1,349,540,0.6462962962962963,2016-04-26,7193,5.03999996185303,1377,0,10,176,714,186,0.20666666666666667,0.1914361184484916,0.0,0.6336690783788377,0.012627217917458577
3977333714,2016-04-28,1,261,423,0.6170212765957447,2016-04-27,7114,4.88000011444092,1407,15,8,190,804,213,0.20943952802359883,0.1977790272701715,0.07042253521126761,0.6336690783788377,-0.016647801783092997
3977333714,2016-04-29,1,333,478,0.696652719665272,2016-04-28,10645,7.75,1545,36,32,150,744,218,0.22661122661122662,0.14513856270549555,0.1651376146788991,0.6336690783788377,0.0629836412864343
3977333714,2016-04-30,1,237,382,0.6204188481675392,2016-04-29,13238,9.19999980926514,1650,43,52,194,687,289,0.29610655737704916,0.12464118446895302,0.14878892733564014,0.6336690783788377,-0.013250230211298453
3977333714,2016-05-01,1,383,626,0.6118210862619808,2016-04-30,10414,7.07000017166138,1501,41,40,124,691,205,0.22879464285714285,0.1441328980218936,0.2,0.6336690783788377,-0.02184799211685684
3977333714,2016-05-02,1,230,384,0.5989583333333334,2016-05-01,16520,11.0500001907349,1760,24,143,176,713,343,0.3248106060606061,0.10653753026634383,0.06997084548104957,0.6336690783788377,-0.03471074504550431
3977333714,2016-05-03,1,292,500,0.584,2016-05-02,14335,9.59000015258789,1710,47,41,258,594,346,0.3680851063829787,0.11928845483083363,0.13583815028901733,0.6336690783788377,-0.04966907837883772
